Occurrence,POINT_X,POINT_Y
presence,314250,6581750
presence,314250,6582250
presence,314250,6582750
presence,314250,6583750
presence,314250,6585750
presence,314250,6589750
presence,314250,6590250
presence,314250,6592250
presence,314250,6601250
presence,314250,6601750
presence,314250,6622250
presence,314250,6622750
presence,314750,6581750
presence,314750,6582250
presence,314750,6582750
presence,314750,6583750
presence,314750,6584250
presence,314750,6585750
presence,314750,6586250
presence,314750,6586750
presence,314750,6587750
presence,314750,6593750
presence,314750,6595250
presence,314750,6595750
presence,314750,6596750
presence,314750,6597250
presence,314750,6601250
presence,314750,6601750
presence,315250,6573250
presence,315250,6579750
presence,315250,6581750
presence,315250,6582250
presence,315250,6582750
presence,315250,6583250
presence,315250,6583750
presence,315250,6584250
presence,315250,6584750
presence,315250,6590750
presence,315250,6597250
presence,315750,6579250
presence,315750,6579750
presence,315750,6581750
presence,315750,6582750
presence,315750,6583250
presence,315750,6583750
presence,315750,6619250
presence,315750,6626750
presence,316250,6579250
presence,316250,6580250
presence,316250,6582750
presence,316250,6583250
presence,316250,6584250
presence,316250,6594250
presence,316750,6578750
presence,316750,6584250
presence,316750,6626750
presence,317250,6580750
presence,317250,6581750
presence,317250,6585250
presence,317250,6625750
presence,317250,6627250
presence,317750,6580250
presence,318250,6573750
presence,318250,6579250
presence,318250,6580250
presence,318250,6581250
presence,318250,6623250
presence,318250,6626750
presence,318750,6570750
presence,318750,6579250
presence,318750,6579750
presence,318750,6580250
presence,318750,6616750
presence,318750,6630250
presence,319250,6620750
presence,319750,6616250
presence,319750,6619750
presence,319750,6620750
presence,319750,6624250
presence,319750,6630750
presence,319750,6631250
presence,320250,6617750
presence,320250,6618250
presence,320250,6622750
presence,320250,6623250
presence,320250,6626250
presence,320250,6626750
presence,320250,6627250
presence,320750,6625250
presence,320750,6628750
presence,321250,6625250
presence,321250,6626250
presence,321250,6626750
presence,321250,6627750
presence,321250,6628250
presence,321250,6628750
presence,321250,6629250
presence,321250,6629750
presence,321750,6618250
presence,321750,6624250
presence,321750,6624750
presence,321750,6627250
presence,321750,6627750
presence,322250,6624250
presence,322250,6624750
presence,322250,6625250
presence,322750,6617250
presence,322750,6617750
presence,322750,6621750
presence,322750,6624250
presence,323250,6617250
presence,323250,6621750
presence,323250,6622250
presence,323250,6622750
presence,323750,6620750
presence,323750,6622250
presence,324250,6622250
presence,327250,6621750
presence,327750,6621750
